Volatility 3 Framework 2.28.0

Offset	FileFullPath	File output
0xdd82c0403000	\??\C:\Users\fredr\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\Settings\settings.dat	Disabled
0xdd82aea06000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.CBS_120.2212.31.0_x64__cw5n1h2txyewy\ActivationStore.dat	Disabled
0xdd82bedec000	\??\C:\Users\fredr\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\Settings\settings.dat	Disabled
0xdd82c99e1000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Photos_2020.20090.1002.0_x64__8wekyb3d8bbwe\ActivationStore.dat	Disabled
0xdd82bae86000	\??\C:\Users\fredr\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat	Disabled
0xdd82db0a0000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.UI.Xaml.2.3_2.32002.13001.0_x64__8wekyb3d8bbwe\ActivationStore.dat	Disabled
0xdd82cb524000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.YourPhone_1.20101.99.0_x64__8wekyb3d8bbwe\ActivationStore.dat	Disabled
0xdd82b2520000	\??\C:\Users\fredr\AppData\Local\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\Settings\settings.dat	Disabled
0xdd82cac26000	\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\ActivationStore.dat	Disabled
0xdd82d68be000	\??\C:\Users\fredr\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe\Settings\settings.dat	Disabled
